problem,model,model_slug,record,n_lines,n_tactics,n_have,n_premise_refs,n_distinct_premises,vocab_ratio,n_files
bvp_comparison,EVO,EVO,476,121,63,51,76,29,0.3815789473684211,2
bvp_comparison,EVO,EVO,876,121,63,51,76,29,0.3815789473684211,2
bvp_comparison,GPT-5.5 Codex,GPT-5.5-Codex,9,82,27,15,44,15,0.3409090909090909,1
bvp_comparison,GPT-5.5,GPT-5.5,5,82,27,15,44,15,0.3409090909090909,1
bvp_comparison,GPT-5.5,GPT-5.5,858,45,17,9,37,17,0.4594594594594595,1
bvp_comparison,GPT-5.6,GPT-5.6,561,70,27,26,44,16,0.36363636363636365,1
bvp_comparison,Gemini 3.1 Pro,Gemini-3.1-Pro,864,45,20,13,43,22,0.5116279069767442,1
bvp_comparison,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,918,37,9,5,29,15,0.5172413793103449,2
cauchy_kovalevskaya,GPT-5.6,GPT-5.6,562,3425,1091,538,4678,471,0.1006840530141086,1
cauchy_kovalevskaya,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,919,1474,494,348,2234,309,0.13831692032229184,3
chebyshev_sign_change,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,920,11435,3903,1966,10023,1400,0.1396787389005288,22
choquet_representation_theorem,GPT-5.6,GPT-5.6,563,1269,505,229,1999,236,0.11805902951475739,1
choquet_representation_theorem,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,921,565,157,74,1245,131,0.10522088353413654,2
chudnovsky_formula_for_pi_inv,Claude-Opus-4.8-+-Fable-5-multi-agent,Claude-Opus-4.8-+-Fable-5-multi-agent,255,15429,7241,3828,16331,2329,0.1426122099075378,32
commProb_closed,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,923,5530,1662,541,8422,620,0.07361671811921158,14
compact_group_semisimple,GPT-5.6,GPT-5.6,564,129,57,21,207,66,0.3188405797101449,1
compact_group_semisimple,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,924,100,42,15,158,65,0.41139240506329117,2
contractibleSpace_houseWithTwoRooms,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,19,6925,3942,2260,9952,347,0.034867363344051445,1
contractibleSpace_houseWithTwoRooms,GPT-5.5,GPT-5.5,539,1616,842,156,1197,112,0.0935672514619883,1
contractibleSpace_houseWithTwoRooms,GPT-5.6,GPT-5.6,565,2627,1811,282,2786,261,0.0936826992103374,1
contractibleSpace_houseWithTwoRooms,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,925,705,233,79,803,107,0.13325031133250312,2
cubic_decay_asymptotic,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,20,132,67,52,84,49,0.5833333333333334,2
cubic_decay_asymptotic,Aristotle (Harmonic),Aristotle-Harmonic,238,79,28,9,85,54,0.6352941176470588,2
cubic_decay_asymptotic,Aristotle (Harmonic),Aristotle-Harmonic,841,72,29,14,73,51,0.6986301369863014,1
cubic_decay_asymptotic,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,799,214,85,72,176,75,0.42613636363636365,2
cubic_decay_asymptotic,DeepSeek-V4-Flash,DeepSeek-V4-Flash,819,235,130,100,131,59,0.45038167938931295,2
cubic_decay_asymptotic,GPT-5.5,GPT-5.5,540,215,73,47,259,83,0.3204633204633205,1
cubic_decay_asymptotic,GPT-5.5,GPT-5.5,859,132,61,29,101,56,0.5544554455445545,1
cubic_decay_asymptotic,GPT-5.6,GPT-5.6,566,177,93,60,129,56,0.43410852713178294,1
cubic_decay_asymptotic,Grok-4.5,Grok-4.5,822,224,88,70,187,82,0.4385026737967914,2
cubic_decay_asymptotic,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,926,90,42,25,60,32,0.5333333333333333,2
cubic_decay_asymptotic,Kimi-K2.7,Kimi-K2.7,827,341,218,119,200,61,0.305,2
cyclotomic_integer_house_le_two,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,21,1209,713,393,1115,165,0.14798206278026907,2
cyclotomic_integer_house_le_two,Aristotle (Harmonic),Aristotle-Harmonic,271,443,269,72,734,176,0.23978201634877383,3
cyclotomic_integer_house_le_two,GPT-5.6,GPT-5.6,567,519,292,137,372,112,0.3010752688172043,1
cyclotomic_integer_house_le_two,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,927,409,180,91,357,134,0.3753501400560224,2
darboux,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,928,3329,1018,476,4264,620,0.14540337711069418,13
deBranges_theorem,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,929,15293,4709,1998,14723,1547,0.105073694219928,46
dehn_sommerville,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,931,8700,2684,648,14120,1043,0.07386685552407932,10
dirichlet_eigenvalues_eq_nat_sq,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,23,364,178,134,422,72,0.17061611374407584,2
dirichlet_eigenvalues_eq_nat_sq,Aristotle (Harmonic),Aristotle-Harmonic,274,133,78,20,226,72,0.3185840707964602,2
dirichlet_eigenvalues_eq_nat_sq,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,801,422,199,177,401,64,0.1596009975062344,2
dirichlet_eigenvalues_eq_nat_sq,EVO-deepthought.com.au,EVO-deepthought.com.au,887,476,236,199,382,74,0.193717277486911,2
dirichlet_eigenvalues_eq_nat_sq,GPT-5.5,GPT-5.5,541,346,143,114,347,75,0.21613832853025935,1
dirichlet_eigenvalues_eq_nat_sq,GPT-5.5,GPT-5.5,852,303,151,90,260,61,0.23461538461538461,1
dirichlet_eigenvalues_eq_nat_sq,GPT-5.6,GPT-5.6,568,321,163,111,251,44,0.1752988047808765,1
dirichlet_eigenvalues_eq_nat_sq,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,932,282,92,72,247,51,0.20647773279352227,2
dvd_card_connectedComponent_markoffGraph,Aristotle (Harmonic),Aristotle-Harmonic,275,238,112,23,235,66,0.28085106382978725,2
dvd_card_connectedComponent_markoffGraph,GPT-5.6,GPT-5.6,569,911,427,127,852,113,0.13262910798122066,1
dvd_card_connectedComponent_markoffGraph,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,933,303,97,35,298,40,0.1342281879194631,2
entropy_dimension_lyapunov,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,934,28334,6663,3369,46841,1784,0.03808629192374202,134
euler_lagrange_equation,GPT-5.6,GPT-5.6,570,295,102,72,402,106,0.263681592039801,1
euler_lagrange_equation,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,935,280,61,50,436,96,0.22018348623853212,2
exists_chiral_knot,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,936,14553,3849,1155,14819,1671,0.11276064511775423,54
exists_complementary_polynomial_on_unit_circle,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,24,1298,559,310,1780,227,0.12752808988764044,2
exists_complementary_polynomial_on_unit_circle,Aristotle (Harmonic),Aristotle-Harmonic,277,589,409,75,1098,251,0.22859744990892533,6
exists_complementary_polynomial_on_unit_circle,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,802,1856,954,355,2625,295,0.11238095238095239,3
exists_complementary_polynomial_on_unit_circle,GPT-5.6,GPT-5.6,571,973,472,239,878,205,0.23348519362186787,1
exists_complementary_polynomial_on_unit_circle,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,937,627,241,81,629,161,0.2559618441971383,2
exists_nonisotopic_knots,GPT-5.6,GPT-5.6,572,3959,1669,645,3540,570,0.16101694915254236,1
exists_nonisotopic_knots,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,938,2066,709,214,1804,371,0.2056541019955654,6
exists_nonisotopic_link,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,25,755,392,180,832,177,0.2127403846153846,2
exists_nonisotopic_link,Aristotle (Harmonic),Aristotle-Harmonic,279,275,166,30,336,148,0.44047619047619047,2
exists_nonisotopic_link,GPT-5.6,GPT-5.6,573,451,178,109,465,128,0.2752688172043011,1
exists_nonisotopic_link,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,939,388,121,46,361,124,0.34349030470914127,2
families_of_maps_b01,GPT-5.6,GPT-5.6,574,11333,4222,1630,11781,993,0.08428826075884899,1
families_of_maps_b01,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,940,5452,1763,643,9235,793,0.08586897671900379,14
fang_xia_tiling_partition_transitive,GPT-5.6,GPT-5.6,575,1853,694,187,2510,224,0.08924302788844622,1
fang_xia_tiling_partition_transitive,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,941,964,333,80,1492,186,0.12466487935656836,2
fary_milnor,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,942,12277,4414,2277,7644,1044,0.13657770800627944,26
fatou_julia_dichotomy,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,943,1856,702,265,2218,366,0.16501352569882777,5
feit_thompson,GPT-5.6,GPT-5.6,74,264596,82834,38674,438568,18296,0.04171758997464475,947
feit_thompson,Various-models-with-human-in-the-loop,Various-models-with-human-in-the-loop,903,281150,104011,50836,577813,22240,0.03848996128505243,590
feit_thompson,deepseek-v4-and-gpt-5.x,deepseek-v4-and-gpt-5.x,224,651305,182976,90492,1355421,19741,0.01456447849044688,599
feit_thompson,various-model-deepseek-v4-gpt-5.,various-model-deepseek-v4-gpt-5.,226,651305,182976,90492,1355421,19741,0.01456447849044688,599
finite_graph_ramsey_theorem,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,26,301,200,65,260,70,0.2692307692307692,2
finite_graph_ramsey_theorem,Aristotle (Harmonic),Aristotle-Harmonic,239,74,73,10,150,64,0.4266666666666667,2
finite_graph_ramsey_theorem,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,803,168,97,28,204,52,0.2549019607843137,2
finite_graph_ramsey_theorem,Claude-Opus-4.7,Claude-Opus-4.7,793,168,97,28,204,52,0.2549019607843137,2
finite_graph_ramsey_theorem,DeepSeek-V4-Flash,DeepSeek-V4-Flash,820,356,285,102,367,68,0.18528610354223432,2
finite_graph_ramsey_theorem,EVO-deepthought.com.au,EVO-deepthought.com.au,888,345,287,96,334,76,0.2275449101796407,2
finite_graph_ramsey_theorem,EVO,EVO,477,318,157,75,366,72,0.19672131147540983,2
finite_graph_ramsey_theorem,EVO,EVO,879,319,157,75,366,72,0.19672131147540983,2
finite_graph_ramsey_theorem,GPT-5.5,GPT-5.5,860,149,69,16,172,65,0.37790697674418605,1
finite_graph_ramsey_theorem,GPT-5.6,GPT-5.6,576,106,61,30,167,51,0.30538922155688625,1
finite_graph_ramsey_theorem,Grok-4.5,Grok-4.5,823,96,41,6,107,41,0.38317757009345793,2
finite_graph_ramsey_theorem,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,944,62,35,4,63,27,0.42857142857142855,2
finite_group_isSolvable_of_card_eq_prime_pow_mul_prime_pow,Aristotle (Harmonic),Aristotle-Harmonic,282,1235,740,237,2277,505,0.22178304787000439,8
finite_group_isSolvable_of_card_eq_prime_pow_mul_prime_pow,Claude-Fable-5-orchestrating-Opus-Sonnet-4.8,Claude-Fable-5-orchestrating-Opus-Sonnet-4.8,222,2524,1046,468,4389,730,0.16632490316700843,6
finite_group_isSolvable_of_card_eq_prime_pow_mul_prime_pow,GPT-5.6,GPT-5.6,577,1675,645,332,2407,431,0.1790610718737017,1
finite_group_isSolvable_of_card_eq_prime_pow_mul_prime_pow,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,945,1147,452,172,1656,374,0.22584541062801933,3
fourier_dirichlet_fejer,Autoform-Bot,Autoform-Bot,660,2440,997,382,2439,401,0.16441164411644116,2
fourier_dirichlet_fejer,GPT-5.6,GPT-5.6,578,1052,349,143,1666,162,0.09723889555822329,1
fourier_dirichlet_fejer,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,946,508,149,49,610,152,0.24918032786885247,3
fraser_kakeya_fourier_decay,GPT-5.6,GPT-5.6,579,786,329,101,1044,128,0.12260536398467432,1
fraser_kakeya_fourier_decay,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,947,695,250,59,883,113,0.12797281993204984,2
frobenius_group_determinant,GPT-5.6,GPT-5.6,580,1423,509,142,2045,334,0.16332518337408314,1
frobenius_group_determinant,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,948,1088,307,55,1884,326,0.173036093418259,2
frobenius_kernel_isNormal,GPT-5.6,GPT-5.6,581,2708,922,388,4564,364,0.07975460122699386,1
frobenius_kernel_isNormal,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,949,1338,409,139,2582,379,0.14678543764523624,5
fundamental_topos_theory,GPT-5.6,GPT-5.6,582,1182,392,129,2259,218,0.09650287737937141,1
fundamental_topos_theory,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,950,1044,231,67,2856,210,0.07352941176470588,5
furstenberg_topological,GPT-5.6,GPT-5.6,583,311,165,67,380,102,0.26842105263157895,1
furstenberg_topological,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,951,231,107,36,298,89,0.2986577181208054,2
gauss_wantzel_constructible_polygon,GPT-5.6,GPT-5.6,584,1130,503,280,1351,253,0.18726868985936343,1
gauss_wantzel_constructible_polygon,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,952,514,200,78,752,218,0.2898936170212766,4
glAction_range_eq_centralizer_symAction,Aristotle (Harmonic),Aristotle-Harmonic,290,763,367,96,1839,290,0.15769439912996194,14
glAction_range_eq_centralizer_symAction,GPT-5.6,GPT-5.6,585,1276,521,166,2342,328,0.14005123825789922,1
glAction_range_eq_centralizer_symAction,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,953,841,337,70,1581,262,0.1657179000632511,2
glauberman_zStar,deepseek-v4-and-gpt-5.x,deepseek-v4-and-gpt-5.x,225,679038,191595,94523,1397398,21461,0.015357829337096517,652
gleason_theorem_finite,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,954,3261,1110,559,4073,385,0.0945249202062362,6
golod_shafarevich_inequality,GPT-5.6,GPT-5.6,586,4246,1410,441,8117,390,0.04804730811876309,1
golod_shafarevich_inequality,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,955,2703,916,199,4116,417,0.10131195335276968,11
halmos_generic_weak_mixing,GPT-5.6,GPT-5.6,587,8292,2949,1121,13020,791,0.06075268817204301,1
halmos_generic_weak_mixing,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,956,4165,1235,448,7200,709,0.09847222222222222,19
hausdorff_absolute_continuity,GPT-5.6,GPT-5.6,588,1095,384,109,1273,197,0.15475255302435192,1
hausdorff_absolute_continuity,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,957,519,135,41,558,144,0.25806451612903225,2
hausdorff_hildebrandt_schoenberg,GPT-5.6,GPT-5.6,589,1169,439,145,1434,207,0.14435146443514643,1
hausdorff_hildebrandt_schoenberg,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,958,975,338,90,937,176,0.18783351120597652,3
hausdorff_positivity_criterion,GPT-5.6,GPT-5.6,590,1015,392,115,816,187,0.22916666666666666,1
hausdorff_positivity_criterion,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,959,697,223,45,825,185,0.22424242424242424,3
heat_kernel_solves_heat_equation,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,27,691,372,188,405,98,0.2419753086419753,2
heat_kernel_solves_heat_equation,Aristotle (Harmonic),Aristotle-Harmonic,296,325,217,53,408,118,0.28921568627450983,2
heat_kernel_solves_heat_equation,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,804,930,387,240,813,132,0.16236162361623616,2
heat_kernel_solves_heat_equation,GPT-5.5,GPT-5.5,542,937,379,182,856,119,0.13901869158878505,1
heat_kernel_solves_heat_equation,GPT-5.6,GPT-5.6,591,478,190,106,413,74,0.1791767554479419,1
heat_kernel_solves_heat_equation,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,960,583,183,82,374,72,0.1925133689839572,2
higman_infinite_simple,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,961,5365,1797,351,4473,421,0.09412027721886877,5
hippocrates_lunes,Aristotle (Harmonic),Aristotle-Harmonic,662,314,298,30,425,119,0.28,5
hippocrates_lunes,GPT-5.6,GPT-5.6,592,661,392,105,868,127,0.14631336405529954,1
hippocrates_lunes,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,962,513,260,72,595,88,0.14789915966386555,2
hopf_umlaufsatz,GPT-5.6,GPT-5.6,593,4834,2963,1292,5742,537,0.09352142110762801,1
hopf_umlaufsatz,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,963,2516,807,355,2269,428,0.1886293521375055,5
hurewicz_h1_abelianization,GPT-5.6,GPT-5.6,594,1456,390,86,2443,209,0.0855505525992632,1
hurewicz_h1_abelianization,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,964,1012,243,33,1704,148,0.08685446009389672,2
irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,29,619,315,142,647,190,0.2936630602782071,2
irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,Aristotle (Harmonic),Aristotle-Harmonic,298,391,216,48,498,142,0.285140562248996,3
irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,GPT-5.5,GPT-5.5,6,3497,1786,684,3464,565,0.16310623556581985,1
irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,GPT-5.6,GPT-5.6,595,467,205,127,450,110,0.24444444444444444,1
irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,966,442,163,79,453,100,0.22075055187637968,2
isoperimetric_inequality,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,967,3006,1013,362,3170,557,0.17570977917981073,16
jacobian_challenge_diffgeo,Claude-Fable-5,Claude-Fable-5,789,31660,12502,5714,54164,4896,0.09039214238239421,216
jacobian_challenge_diffgeo,Claude-Opus-4.7-4.8-and-Fable-5-+-OSS-contributions,Claude-Opus-4.7-4.8-and-Fable-5-+-OSS-contributions,816,61235,21162,9411,94153,7134,0.07577028878527503,310
jacobian_challenge_diffgeo,Community-multi-model-project,Community-multi-model-project,659,128704,42730,19530,189816,11512,0.06064820668436802,558
jordan_brouwer,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,968,6494,2166,791,7832,829,0.10584780388151174,27
jordan_curve,Claude-Fable-5,Claude-Fable-5,790,2845,1945,845,3483,603,0.1731266149870801,5
jordan_curve,Claude-Opus-4.8-1M-context,Claude-Opus-4.8-1M-context,817,2845,1945,845,3483,603,0.1731266149870801,5
jordan_curve,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,969,1773,631,281,2156,392,0.18181818181818182,9
jordan_normal_form,GPT-5.6,GPT-5.6,596,458,158,34,899,128,0.14238042269187987,1
jordan_normal_form,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,970,442,185,65,689,158,0.22931785195936139,2
kakutani_fixed_point,GPT-5.6,GPT-5.6,597,2256,984,438,2834,306,0.10797459421312633,1
kakutani_fixed_point,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,971,1302,501,140,1559,215,0.1379089159717768,3
kam_invariant_curve,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,972,5139,1262,766,5205,595,0.1143131604226705,17
kirk_normal_structure,GPT-5.6,GPT-5.6,598,419,186,100,805,104,0.12919254658385093,1
kirk_normal_structure,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,973,208,81,35,380,88,0.23157894736842105,2
kolmogorov_arnold_superposition,GPT-5.6,GPT-5.6,599,1887,757,383,1970,261,0.13248730964467004,1
kolmogorov_arnold_superposition,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,974,1140,431,216,1078,206,0.19109461966604824,2
